longitude,latitude
-86.5311849117279,39.133959208967156
-86.50887697935104,39.14730655986629
-86.53162747621536,39.173507049013374
-86.50170743465424,39.16625807190859
-86.53685376048088,39.17599598299849
-86.54187083244324,39.13990509921859
-86.52690410614014,39.154232930666396
-86.5270060300827,39.153101496374035
-86.52680218219757,39.14831749052126
-86.50822520256042,39.138400984975654
-86.50714963674545,39.16885955282661
-86.53786092996597,39.185948757648845
-86.53767049312592,39.180277066795256
-86.58253848552704,39.13873591279179
-86.53732985258102,39.16417432040373
-86.50984525680542,39.15357576617791
-86.5091022849083,39.15779478983491
-86.51616990566254,39.15783118652274
-86.51705771684647,39.15785614424031
-86.51547521352768,39.15784262547782
-86.51508092880249,39.14542609205998
-86.51380956172943,39.156837024273614
-86.49677753448486,39.150416272479546
-86.48494631052017,39.15018538884187
-86.4915432035923,39.150317990974074
-86.48044690489769,39.150231149587654
-86.48081302642822,39.16635165286979
-86.48004591464996,39.166673983256985
-86.51110455393791,39.15412070546576
-86.50627791881561,39.14636425861841
-86.50771290063858,39.146391300567984
-86.54372155666351,39.14162343819997
-86.54602691531181,39.13913120365498
-86.50600701570511,39.1662019222192
-86.49680972099304,39.142996385027516
-86.50193810462952,39.1609841081322
-86.55350156128407,39.17905348765099
-86.53623282909393,39.17895056803299
-86.53989136219025,39.17899215173143
-86.50051519274712,39.167886349727794
-86.47972673177719,39.1679716022925
-86.51465445756912,39.15545392290038
-86.4823043346405,39.17317643002786
-86.505446434021,39.16430741738354
-86.50061443448067,39.16427518328564
-86.50950193405151,39.166815382027096
-86.53158724308014,39.12733038645473
-86.5312197804451,39.13396753137721
-86.5016832947731,39.15359240235677
